NYY, 1970, 150.085889571, 147.0, 26.0154269412, A, NYY
NYY, 1971, 148.327160494, 143.0, 24.0462081523, A, NYY
NYY, 1972, 146.675324675, 142.0, 24.7674595683, A, NYY
NYY, 1973, 146.716049383, 148.0, 19.3143166806, A, NYY
NYY, 1974, 153.679012346, 152.5, 26.0935293812, A, NYY
NYY, 1975, 146.149350649, 142.5, 25.3696777971, A, NYY
NYY, 1976, 150.208860759, 145.0, 31.2314864243, A, NYY
NYY, 1977, nan, nan, 0.0, A, NYY
NYY, 1978, nan, nan, 0.0, A, NYY
NYY, 1979, 150.25625, 146.0, 25.2886453955, A, NYY
NYY, 1980, nan, nan, 0.0, A, NYY
NYY, 1981, nan, nan, 0.0, A, NYY
NYY, 1982, 162.790123457, 157.5, 27.7420730751, A, NYY
NYY, 1983, 162.919753086, 161.0, 24.6681627162, A, NYY
NYY, 1984, 163.660493827, 157.5, 28.3795186928, A, NYY
NYY, 1985, nan, nan, 0.0, A, NYY
NYY, 1986, nan, nan, 0.0, A, NYY
NYY, 1987, 178.080246914, 174.0, 28.0460332344, A, NYY
NYY, 1988, 181.913043478, 178.0, 31.0142005752, A, NYY
NYY, 1989, nan, nan, 0.0, A, NYY
NYY, 1990, 177.086419753, 172.5, 27.589001893, A, NYY
NYY, 1991, 179.685185185, 174.0, 29.5875917065, A, NYY
NYY, 1992, 180.25308642, 178.0, 27.6524532273, A, NYY
NYY, 1993, 177.858024691, 176.0, 24.5590413021, A, NYY
NYY, 1994, nan, nan, 0.0, A, NYY
NYY, 1995, 180.765517241, 178.0, 23.2945202356, A, NYY
NYY, 1996, nan, nan, 0.0, A, NYY
NYY, 1997, 190.87654321, 189.5, 30.0683922951, A, NYY
NYY, 1998, nan, nan, 0.0, A, NYY
NYY, 1999, nan, nan, 0.0, A, NYY
NYY, 2000, nan, nan, 0.0, A, NYY
NYY, 2001, nan, nan, 0.0, A, NYY
NYY, 2002, 189.186335404, 186.0, 30.9929274579, A, NYY
NYY, 2003, nan, nan, 0.0, A, NYY
NYY, 2004, 178.771604938, 176.0, 24.3549560681, A, NYY
NYY, 2005, 182.09375, 181.0, 23.2203566066, A, NYY
NYY, 2006, 187.790123457, 186.5, 23.8297542246, A, NYY
NYY, 2007, nan, nan, 0.0, A, NYY
NYY, 2008, nan, nan, 0.0, A, NYY
NYY, 2009, nan, nan, 0.0, A, NYY
MIL, 1970, 155.687116564, 154.0, 23.471042457, A, MIL
MIL, 1971, 148.813664596, 147.0, 20.003168994, A, MIL
MIL, 1972, 144.070512821, 140.0, 26.6005861174, A, MIL
MIL, 1973, 156.820987654, 155.0, 24.5723683823, A, MIL
MIL, 1974, 147.987421384, 144.0, 25.4528760336, A, MIL
MIL, 1975, 157.339869281, 154.0, 24.9415430017, A, MIL
MIL, 1976, 150.0, 148.0, 23.7172158803, A, MIL
MIL, 1977, 154.302469136, 150.5, 24.9325236317, A, MIL
MIL, 1978, 147.522012579, 145.0, 21.5271764699, A, MIL
MIL, 1979, 157.075949367, 154.0, 28.5946229131, A, MIL
MIL, 1980, 158.024691358, 154.5, 22.9825351343, A, MIL
MIL, 1981, 155.798165138, 150.0, 25.2000363392, A, MIL
MIL, 1982, 162.736196319, 162.0, 22.0509249478, A, MIL
MIL, 1983, 165.271604938, 161.0, 28.7185200045, A, MIL
MIL, 1984, 160.565217391, 156.0, 32.0032573281, A, MIL
MIL, 1985, 163.596273292, 159.0, 24.7565485112, A, MIL
MIL, 1986, 166.391304348, 165.0, 23.0028823236, A, MIL
MIL, 1987, 176.987654321, 174.0, 26.0540718967, A, MIL
MIL, 1988, 165.777777778, 162.5, 24.8757405746, A, MIL
MIL, 1989, 168.950617284, 166.0, 20.2102536221, A, MIL
MIL, 1990, 176.265432099, 173.0, 28.9219454483, A, MIL
MIL, 1991, 176.672839506, 170.0, 31.9231001633, A, MIL
MIL, 1992, 176.617283951, 173.0, 25.9332323626, A, MIL
MIL, 1993, 175.067901235, 170.0, 31.6327550474, A, MIL
MIL, 1994, 183.156521739, 179.0, 29.3437175868, A, MIL
MIL, 1995, 177.090277778, 176.0, 27.3658123076, A, MIL
MIL, 1996, 181.512345679, 180.0, 26.2803587303, A, MIL
MIL, 1997, 175.254658385, 173.0, 25.5024732702, A, MIL
MIL, 1998, 171.154320988, 165.5, 25.8811554944, N, MIL
MIL, 1999, 184.055900621, 179.0, 26.6831531859, N, MIL
MIL, 2000, 184.312883436, 177.0, 32.6876876827, N, MIL
MIL, 2001, 175.049382716, 174.0, 25.9036206224, N, MIL
MIL, 2002, 170.932098765, 168.5, 22.0572002027, N, MIL
MIL, 2003, 169.913580247, 167.0, 23.0379169641, N, MIL
MIL, 2004, 174.714285714, 172.0, 26.9974529674, N, MIL
MIL, 2005, 173.055900621, 170.0, 25.7882558968, N, MIL
MIL, 2006, 172.401234568, 171.5, 23.6297207385, N, MIL
MIL, 2007, 172.913580247, 171.0, 24.9214556433, N, MIL
MIL, 2008, 175.351851852, 172.5, 25.5626734585, N, MIL
MIL, 2009, 179.530864198, 176.0, 23.9985011979, N, MIL
MIN, 1970, 158.444444444, 156.0, 25.1042271784, A, MIN
MIN, 1971, 156.45625, 154.5, 22.8920965824, A, MIN
MIN, 1972, 152.013071895, 145.0, 29.9363129938, A, MIN
MIN, 1973, 158.49382716, 157.5, 23.3632736253, A, MIN
MIN, 1974, 153.222222222, 150.0, 26.0422259199, A, MIN
MIN, 1975, 155.981132075, 154.0, 24.667721811, A, MIN
MIN, 1976, 158.025, 153.5, 28.5538854624, A, MIN
MIN, 1977, 161.49689441, 158.0, 26.5461333404, A, MIN
MIN, 1978, 155.534591195, 152.0, 23.3391133562, A, MIN
MIN, 1979, 152.9125, 150.0, 22.3820205466, A, MIN
MIN, 1980, 155.229813665, 151.0, 26.3773967907, A, MIN
MIN, 1981, 147.536363636, 142.5, 20.1136214689, A, MIN
MIN, 1982, 153.697530864, 149.5, 26.3972710678, A, MIN
MIN, 1983, 155.012345679, 152.0, 21.4026615555, A, MIN
MIN, 1984, 151.814814815, 151.0, 19.1324887613, A, MIN
MIN, 1985, 161.62345679, 160.0, 19.7715394132, A, MIN
MIN, 1986, 171.098765432, 167.5, 24.7197151979, A, MIN
MIN, 1987, 171.030864198, 166.5, 25.8331356837, A, MIN
MIN, 1988, 169.50617284, 168.0, 23.342127156, A, MIN
MIN, 1989, 164.296296296, 165.0, 21.4513198215, A, MIN
MIN, 1990, 161.111111111, 159.5, 22.5525449551, A, MIN
MIN, 1991, 167.197530864, 165.0, 24.1846904707, A, MIN
MIN, 1992, 173.160493827, 170.5, 27.2611770215, A, MIN
MIN, 1993, 170.234567901, 167.0, 28.2963905585, A, MIN
MIN, 1994, 176.85840708, 174.0, 27.1371042914, A, MIN
MIN, 1995, 174.0625, 171.5, 29.3146765361, A, MIN
MIN, 1996, 175.50617284, 175.0, 22.9204870657, A, MIN
MIN, 1997, 175.716049383, 170.0, 24.2981656412, A, MIN
MIN, 1998, 177.864197531, 176.0, 26.8048517289, A, MIN
MIN, 1999, 177.149068323, 173.0, 25.1320021126, A, MIN
MIN, 2000, 178.654320988, 177.5, 21.5891264891, A, MIN
MIN, 2001, 176.308641975, 172.0, 26.1572367888, A, MIN
MIN, 2002, 174.47826087, 171.0, 26.2468186671, A, MIN
MIN, 2003, 167.00617284, 161.5, 26.9385438931, A, MIN
MIN, 2004, 168.074074074, 161.5, 28.7703884884, A, MIN
MIN, 2005, 162.801242236, 158.0, 26.0767667174, A, MIN
MIN, 2006, 166.271604938, 162.5, 23.5592305025, A, MIN
MIN, 2007, 167.586419753, 165.0, 23.7384526995, A, MIN
MIN, 2008, 173.214723926, 170.0, 27.0495438042, A, MIN
MIN, 2009, 176.484662577, 174.0, 27.2762185072, A, MIN
ATL, 1970, 152.777777778, 150.5, 22.5147413986, N, ATL
ATL, 1971, 146.296296296, 141.0, 26.7634560338, N, ATL
ATL, 1972, 147.276315789, 145.0, 22.1757920906, N, ATL
ATL, 1973, 154.327160494, 147.0, 28.0717401605, N, ATL
ATL, 1974, 144.650306748, 141.0, 22.2756115068, N, ATL
ATL, 1975, 144.019354839, 141.0, 23.3012448699, N, ATL
ATL, 1976, 144.863354037, 141.0, 19.3141717012, N, ATL
ATL, 1977, 155.055555556, 151.0, 23.5427769322, N, ATL
ATL, 1978, 149.987654321, 146.5, 24.3551367701, N, ATL
ATL, 1979, 150.683544304, 147.5, 21.5987835474, N, ATL
ATL, 1980, 148.8875, 147.0, 20.8449596725, N, ATL
ATL, 1981, 157.214953271, 156.0, 24.8039143871, N, ATL
ATL, 1982, 160.432098765, 157.0, 24.4794891577, N, ATL
ATL, 1983, 160.413580247, 159.0, 20.9147726933, N, ATL
ATL, 1984, 154.574074074, 152.5, 22.8269944041, N, ATL
ATL, 1985, 156.796296296, 151.5, 28.3462146947, N, ATL
ATL, 1986, 162.52173913, 160.0, 23.7173016377, N, ATL
ATL, 1987, 165.751552795, 162.0, 24.3463699019, N, ATL
ATL, 1988, 161.25625, 156.5, 29.5309682526, N, ATL
ATL, 1989, 163.273291925, 160.0, 26.9365455364, N, ATL
ATL, 1990, 168.487654321, 165.5, 25.5867533374, N, ATL
ATL, 1991, 172.037037037, 167.0, 26.8927657648, N, ATL
ATL, 1992, 169.913580247, 167.0, 26.4886174161, N, ATL
ATL, 1993, 168.586419753, 168.0, 23.152912267, N, ATL
ATL, 1994, 167.973684211, 168.0, 25.3409939455, N, ATL
ATL, 1995, 161.083333333, 161.5, 23.5467914776, N, ATL
ATL, 1996, 163.611111111, 159.0, 29.924235605, N, ATL
ATL, 1997, 167.543209877, 163.5, 27.8884680724, N, ATL
ATL, 1998, 161.808641975, 162.0, 22.9087114679, N, ATL
ATL, 1999, 169.086419753, 167.0, 26.319122997, N, ATL
ATL, 2000, 174.012345679, 173.0, 23.5361522953, N, ATL
ATL, 2001, 173.043209877, 169.0, 23.5896893059, N, ATL
ATL, 2002, 177.50310559, 173.0, 29.9929855617, N, ATL
ATL, 2003, 173.956790123, 172.0, 22.4037994919, N, ATL
ATL, 2004, 170.335403727, 167.0, 23.0427483101, N, ATL
ATL, 2005, 166.564935065, 163.0, 22.979924984, N, ATL
ATL, 2006, 170.333333333, 168.0, 25.3021250266, N, ATL
ATL, 2007, 173.024691358, 171.0, 26.5101775512, N, ATL
ATL, 2008, 172.24691358, 170.0, 27.8652094534, N, ATL
ATL, 2009, 173.845679012, 168.5, 24.8907665432, N, ATL
BOS, 1970, 153.87654321, 150.0, 25.9875956716, A, BOS
BOS, 1971, 147.074074074, 141.5, 24.5865956544, A, BOS
BOS, 1972, nan, nan, 0.0, A, BOS
BOS, 1973, 154.925925926, 155.0, 21.9698321654, A, BOS
BOS, 1974, 153.819875776, 151.0, 25.3680701638, A, BOS
BOS, 1975, nan, nan, 0.0, A, BOS
BOS, 1976, nan, nan, 0.0, A, BOS
BOS, 1977, nan, nan, 0.0, A, BOS
BOS, 1978, nan, nan, 0.0, A, BOS
BOS, 1979, nan, nan, 0.0, A, BOS
BOS, 1980, 164.3875, 161.0, 23.3602192573, A, BOS
BOS, 1981, 160.055555556, 155.5, 30.393966669, A, BOS
BOS, 1982, nan, nan, 0.0, A, BOS
BOS, 1983, nan, nan, 0.0, A, BOS
BOS, 1984, nan, nan, 0.0, A, BOS
BOS, 1985, nan, nan, 0.0, A, BOS
BOS, 1986, nan, nan, 0.0, A, BOS
BOS, 1987, nan, nan, 0.0, A, BOS
BOS, 1988, 174.561728395, 175.0, 20.1778944435, A, BOS
BOS, 1989, 176.722222222, 174.5, 29.2982218312, A, BOS
BOS, 1990, 177.882716049, 177.0, 24.3110973498, A, BOS
BOS, 1991, 179.481481481, 177.0, 25.0831265458, A, BOS
BOS, 1992, nan, nan, 0.0, A, BOS
BOS, 1993, 179.24691358, 176.0, 28.3984136508, A, BOS
BOS, 1994, 186.469565217, 181.0, 25.8269565071, A, BOS
BOS, 1995, nan, nan, 0.0, A, BOS
BOS, 1996, nan, nan, 0.0, A, BOS
BOS, 1997, 180.580246914, 178.0, 26.9227813018, A, BOS
BOS, 1998, 172.944444444, 172.0, 21.7716119389, A, BOS
BOS, 1999, nan, nan, 0.0, A, BOS
BOS, 2000, nan, nan, 0.0, A, BOS
BOS, 2001, nan, nan, 0.0, A, BOS
BOS, 2002, nan, nan, 0.0, A, BOS
BOS, 2003, nan, nan, 0.0, A, BOS
BOS, 2004, nan, nan, 0.0, A, BOS
BOS, 2005, nan, nan, 0.0, A, BOS
BOS, 2006, 188.216049383, 183.0, 32.2160375551, A, BOS
BOS, 2007, nan, nan, 0.0, A, BOS
BOS, 2008, 185.5, 181.0, 28.278432649, A, BOS
BOS, 2009, 186.24691358, 182.5, 32.9509665136, A, BOS
DET, 1970, 159.302469136, 157.0, 22.1674573811, A, DET
DET, 1971, 161.62345679, 159.0, 27.1781991954, A, DET
DET, 1972, 152.823529412, 149.0, 23.7762218911, A, DET
DET, 1973, 155.345679012, 154.0, 21.2310397586, A, DET
DET, 1974, 144.761006289, 143.0, 21.2210466074, A, DET
DET, 1975, 143.222929936, 143.0, 21.117082989, A, DET
DET, 1976, 141.439490446, 140.0, 25.0732271708, A, DET
DET, 1977, 148.111111111, 145.5, 22.6456874591, A, DET
DET, 1978, 151.407407407, 147.0, 23.2417662456, A, DET
DET, 1979, 156.41875, 155.5, 25.2946318107, A, DET
DET, 1980, 165.742331288, 165.0, 24.4962971928, A, DET
DET, 1981, 156.697247706, 153.0, 20.7746778587, A, DET
DET, 1982, 160.907407407, 159.5, 23.4636060598, A, DET
DET, 1983, 162.938271605, 162.0, 21.6200899251, A, DET
DET, 1984, 168.086419753, 163.0, 26.6642117068, A, DET
DET, 1985, 170.142857143, 167.0, 24.4984109366, A, DET
DET, 1986, 171.802469136, 172.0, 20.9003631329, A, DET
DET, 1987, 176.37654321, 174.0, 26.6863389086, A, DET
DET, 1988, 173.759259259, 171.0, 25.5480195545, A, DET
DET, 1989, 175.382716049, 170.0, 26.173480076, A, DET
DET, 1990, 179.154320988, 179.0, 24.9110940102, A, DET
DET, 1991, 185.74691358, 183.0, 31.3584044159, A, DET
DET, 1992, 182.339506173, 179.5, 24.105776056, A, DET
DET, 1993, 186.549382716, 184.0, 24.418180959, A, DET
DET, 1994, 188.756521739, 188.0, 27.3494587195, A, DET
DET, 1995, 174.958333333, 172.0, 26.0658554328, A, DET
DET, 1996, 180.419753086, 177.5, 25.5037466129, A, DET
DET, 1997, 178.00617284, 174.5, 27.1419444234, A, DET
DET, 1998, 171.240740741, 167.5, 29.6689149284, A, DET
DET, 1999, 173.51552795, 171.0, 22.8788615422, A, DET
DET, 2000, 181.0, 177.0, 25.7499850174, A, DET
DET, 2001, 172.382716049, 170.0, 26.9803622692, A, DET
DET, 2002, 164.527950311, 161.0, 20.0561516443, A, DET
DET, 2003, 158.790123457, 154.0, 24.7609389964, A, DET
DET, 2004, 166.401234568, 162.5, 23.8248391692, A, DET
DET, 2005, 164.91025641, 164.5, 23.4267466565, A, DET
DET, 2006, 166.24691358, 162.0, 25.7955067693, A, DET
DET, 2007, 179.50617284, 179.0, 24.6075986743, A, DET
DET, 2008, 180.438271605, 174.0, 28.2731258688, A, DET
DET, 2009, 170.319018405, 168.0, 27.9244611026, A, DET
CIN, 1970, 150.759259259, 147.0, 21.5079099878, N, CIN
CIN, 1971, 140.765432099, 139.0, 20.114960715, N, CIN
CIN, 1972, 145.607843137, 141.0, 24.3174095881, N, CIN
CIN, 1973, 147.277777778, 142.0, 24.5073055372, N, CIN
CIN, 1974, 149.828220859, 148.0, 22.0692149051, N, CIN
CIN, 1975, 148.320261438, 145.0, 23.7958785894, N, CIN
CIN, 1976, 150.955974843, 147.0, 26.0508322425, N, CIN
CIN, 1977, 151.5, 149.5, 22.230623412, N, CIN
CIN, 1978, 151.546583851, 147.0, 24.4568196768, N, CIN
CIN, 1979, 155.354037267, 151.0, 25.4854507119, N, CIN
CIN, 1980, 157.12962963, 154.0, 25.554139789, N, CIN
CIN, 1981, 159.138888889, 160.0, 19.9436513306, N, CIN
CIN, 1982, 154.833333333, 151.0, 25.9506297647, N, CIN
CIN, 1983, 156.641975309, 153.0, 24.8731640017, N, CIN
CIN, 1984, 162.456790123, 158.0, 26.3385130315, N, CIN
CIN, 1985, 152.679012346, 149.0, 23.4425102733, N, CIN
CIN, 1986, 161.512345679, 157.0, 26.45383532, N, CIN
CIN, 1987, 163.895061728, 162.5, 22.610662847, N, CIN
CIN, 1988, 160.366459627, 156.0, 27.1779709481, N, CIN
CIN, 1989, 159.827160494, 157.0, 28.196090318, N, CIN
CIN, 1990, 162.141975309, 160.0, 23.3578884774, N, CIN
CIN, 1991, 167.722222222, 162.0, 26.3136940361, N, CIN
CIN, 1992, 167.783950617, 164.0, 25.425689142, N, CIN
CIN, 1993, 161.475308642, 161.0, 23.4437073653, N, CIN
CIN, 1994, 172.704347826, 169.0, 27.2326447048, N, CIN
CIN, 1995, 168.048611111, 165.5, 22.5540492364, N, CIN
CIN, 1996, 170.487654321, 168.5, 23.7713484699, N, CIN
CIN, 1997, 165.907407407, 165.0, 22.9902839262, N, CIN
CIN, 1998, 165.722222222, 163.5, 24.986971914, N, CIN
CIN, 1999, 174.325153374, 171.0, 25.028544057, N, CIN
CIN, 2000, 180.282208589, 177.0, 25.2891279054, N, CIN
CIN, 2001, 178.395061728, 173.0, 26.2731045938, N, CIN
CIN, 2002, 178.320987654, 175.0, 23.2582533661, N, CIN
CIN, 2003, 170.302469136, 165.0, 22.4747016916, N, CIN
CIN, 2004, 173.8125, 172.5, 22.7074292633, N, CIN
CIN, 2005, 172.75625, 170.0, 20.5051051189, N, CIN
CIN, 2006, 170.395061728, 168.0, 25.3869700283, N, CIN
CIN, 2007, 172.49382716, 170.0, 24.1972978069, N, CIN
CIN, 2008, 174.851851852, 172.0, 27.464729845, N, CIN
CIN, 2009, 178.25308642, 173.5, 28.6081037747, N, CIN
WSN, 1970, 155.074074074, 152.0, 22.7529825899, N, MON
WSN, 1971, 147.061728395, 144.5, 21.798938517, N, MON
WSN, 1972, 145.432258065, 142.0, 24.1051511975, N, MON
WSN, 1973, 152.537037037, 148.0, 28.1025764139, N, MON
WSN, 1974, 144.279503106, 143.0, 24.0398765977, N, MON
WSN, 1975, 146.881987578, 144.0, 24.5871195088, N, MON
WSN, 1976, 144.49068323, 139.0, 23.884847457, N, MON
WSN, 1977, 152.728395062, 148.0, 30.5381818671, N, MON
WSN, 1978, 148.826086957, 145.0, 24.3702204022, N, MON
WSN, 1979, 155.140127389, 150.0, 26.5858682347, N, MON
WSN, 1980, 161.155279503, 159.0, 24.0314387785, N, MON
WSN, 1981, 155.527777778, 155.0, 24.5449166244, N, MON
WSN, 1982, 159.62345679, 156.0, 22.3855154426, N, MON
WSN, 1983, 160.067484663, 156.0, 27.4584189453, N, MON
WSN, 1984, 159.341614907, 158.0, 21.8453359549, N, MON
WSN, 1985, 161.416149068, 156.0, 26.6631993361, N, MON
WSN, 1986, 169.596273292, 167.0, 26.7159846729, N, MON
WSN, 1987, 167.469135802, 162.5, 25.1118910497, N, MON
WSN, 1988, 170.742331288, 165.0, 29.5673482978, N, MON
WSN, 1989, 174.191358025, 170.0, 28.1048596366, N, MON
WSN, 1990, 174.345679012, 171.0, 28.3643231368, N, MON
WSN, 1991, 174.832298137, 169.0, 33.8816420043, N, MON
WSN, 1992, 174.450617284, 171.0, 29.1767818374, N, MON
WSN, 1993, 171.957055215, 168.0, 25.225692836, N, MON
WSN, 1994, 177.903508772, 173.0, 25.9875035078, N, MON
WSN, 1995, 169.347222222, 167.5, 25.9607929398, N, MON
WSN, 1996, 172.790123457, 169.0, 28.1572813859, N, MON
WSN, 1997, 165.858024691, 163.5, 26.8654322122, N, MON
WSN, 1998, 161.598765432, 159.0, 20.9034995819, N, MON
WSN, 1999, 167.728395062, 166.0, 21.7607713335, N, MON
WSN, 2000, 171.061728395, 170.5, 21.2671692028, N, MON
WSN, 2001, 171.0, 169.0, 24.9545265445, N, MON
WSN, 2002, 174.709876543, 172.5, 25.6295263027, N, MON
WSN, 2003, 169.24691358, 165.0, 24.3127923775, N, MON
WSN, 2004, 171.0, 167.0, 26.0827268892, N, MON
WSN, 2005, 174.737179487, 173.5, 23.8526760794, N, WSN
WSN, 2006, 176.691358025, 174.0, 24.1950112067, N, WSN
WSN, 2007, 175.018518519, 170.0, 29.4897915424, N, WSN
WSN, 2008, 170.0, 168.0, 27.4180880587, N, WSN
WSN, 2009, 174.864197531, 174.0, 26.5631105415, N, WSN
NYM, 1970, 156.117283951, 153.0, 24.585046595, N, NYM
NYM, 1971, 147.728395062, 143.0, 27.4876009514, N, NYM
NYM, 1972, 149.780645161, 146.0, 24.3758926302, N, NYM
NYM, 1973, 148.906832298, 145.0, 30.5324999927, N, NYM
NYM, 1974, 148.135802469, 144.0, 30.0989122835, N, NYM
NYM, 1975, 149.086419753, 144.5, 23.914042329, N, NYM
NYM, 1976, 144.465838509, 141.0, 22.506046408, N, NYM
NYM, 1977, 148.197530864, 145.0, 23.0409832143, N, NYM
